ID,SMILES,Cluster,UMAP1,UMAP2,UMAP3
1,CC(C1=N[C@@H](C2=CC=CC=C2)CO1)C3=N[C@@H](C4=CC=CC=C4)CO3,9,8.623918,4.2288914,10.176422
2,CC(C1=N[C@@H](C2=CC=CC=C2)CO1)(C)C3=N[C@@H](C4=CC=CC=C4)CO3,0,9.424836,4.5040655,8.392084
3,CCC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CC)C3=N[C@@H](C4=CC=CC=C4)CO3,0,9.415612,4.5640135,8.285375
4,C1(C2(CC2)C3=N[C@@H](C4=CC=CC=C4)CO3)=N[C@@H](C5=CC=CC=C5)CO1,9,11.219131,8.403546,10.274351
5,C1(C2(CCC2)C3=N[C@@H](C4=CC=CC=C4)CO3)=N[C@@H](C5=CC=CC=C5)CO1,9,11.226276,8.408294,10.280493
6,CC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CC3=CC=CC=C3)C4=N[C@@H](C5=CC=CC=C5)CO4,0,9.439961,4.6837077,8.111932
7,N#C/C(C1=N[C@@H](C2=CC=CC=C2)CO1)=C3OC[C@H](C4=CC=CC=C4)N\3,9,8.610431,4.1126823,10.555063
8,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](C6=CC=CC=C6)CO5)(C)C,0,9.56394,4.7229223,7.957501
9,CC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CC3=CC=C(C45C[C@H]6C[C@H](C[C@H](C6)C5)C4)C=C3)C7=N[C@@H](C8=CC=CC=C8)CO7,0,9.573978,4.684089,8.034733
10,FC(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC=C(F)C=C4)C5=N[C@@H](C6=CC=CC=C6)CO5,0,9.69001,4.6091156,7.970083
11,CC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CC3=CC=C(C(C)(C)C)C=C3)C4=N[C@@H](C5=CC=CC=C5)CO4,0,9.476723,4.6879373,8.0516615
12,CC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C4=N[C@@H](C5=CC=CC=C5)CO4,0,9.489123,4.718698,8.054123
13,CC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CC3=CC=C(C=CC=C4)C4=N3)C5=N[C@@H](C6=CC=CC=C6)CO5,0,9.442559,4.705008,8.098698
14,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)C(C4=CC=CC=C4)(C5=CC=CC=C5)O2)(CC6=CC=C(C(C)(C)C)C=C6)C7=N[C@@H](C8=CC=CC=C8)C(C9=CC=CC=C9)(C%10=CC=CC=C%10)O7)(C)C,0,9.175139,5.4386063,7.455652
15,C1(C2(CC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1,9,7.966194,6.0917363,13.093205
16,C1(C2(CC3=CC=CC=C3C2)C4=N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O4)=N[C@H](C7=CC=CC=C7)[C@H](C8=CC=CC=C8)O1,9,7.962143,6.0988464,13.099444
17,C1(C2(CCC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1,9,7.9596686,6.1043196,13.103107
18,C1(C2(CCCCCC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1,9,7.957917,6.1082687,13.105886
19,C1(CC2=N[C@H](C3=CC=CC=C3)[C@H](C4=CC=CC=C4)O2)=N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O1,9,8.855043,4.355718,11.700948
20,C1(C(CC2=CC=CC=C2)(CC3=CC=CC=C3)C4=N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O4)=N[C@H](C7=CC=CC=C7)[C@H](C8=CC=CC=C8)O1,9,8.680188,4.523999,11.410873
21,CC(C1=N[C@H](C2=CC=CC=C2)[C@H](C3=CC=CC=C3)O1)C4=N[C@H](C5=CC=CC=C5)[C@H](C6=CC=CC=C6)O4,9,8.824476,4.383836,11.622
22,C1(C2(CC3=CC=CC=C3C2)C4=N[C@@H](C5=CC=CC=C5)CO4)=N[C@@H](C6=CC=CC=C6)CO1,9,11.214986,8.400057,10.269635
23,CCCC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CCC)C3=N[C@@H](C4=CC=CC=C4)CO3,0,9.426884,4.5873847,8.259864
24,CCCCC(C1=N[C@@H](C2=CC=CC=C2)CO1)(CCCC)C3=N[C@@H](C4=CC=CC=C4)CO3,0,9.436977,4.5904818,8.253167
25,C1(C2(CCCCC2)C3=N[C@@H](C4=CC=CC=C4)CO3)=N[C@@H](C5=CC=CC=C5)CO1,9,11.217346,8.413038,10.259012
26,C1(C2(CCCCCC2)C3=N[C@@H](C4=CC=CC=C4)CO3)=N[C@@H](C5=CC=CC=C5)CO1,9,11.216481,8.403929,10.267776
27,CC(OC(N(CC1)CCC1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4CCN(CC4)C(OC(C)(C)C)=O)C5=N[C@@H](C6=CC=CC=C6)CO5)=O)(C)C,0,9.579879,4.76011,7.935973
28,C1(C(CC2=CC=CC=C2)(CC3=CC=CC=C3)C4=N[C@@H](C5=CC=CC=C5)CO4)=N[C@@H](C6=CC=CC=C6)CO1,0,9.593833,4.571558,8.104133
29,CC(C1=CC(C(C)(C)C)=CC(CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC(C(C)(C)C)=CC(C(C)(C)C)=C4)C5=N[C@@H](C6=CC=CC=C6)CO5)=C1)(C)C,0,9.582485,4.7394485,7.950158
30,C1(C(CC2=CC=C(C34C[C@H]5C[C@H](C[C@H](C5)C4)C3)C=C2)(CC6=CC=C(C78C[C@H]9C[C@H](C[C@H](C9)C8)C7)C=C6)C%10=N[C@@H](C%11=CC=CC=C%11)CO%10)=N[C@@H](C%12=CC=CC=C%12)CO1,0,9.606395,4.6745133,8.023266
